name,salary_from,salary_to,salary_currency,area_name,published_at
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Старый Оскол,2022-12-01T21:21:09+0300
Специалист поддержки в Яндекс Бизнес,13000,33800,RUR,Мурманск,2022-12-01T20:40:18+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Сочи,2022-12-01T20:53:53+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Каспийск,2022-12-01T21:26:21+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Новороссийск,2022-12-01T21:21:09+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Салават,2022-12-01T21:21:09+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Орел,2022-12-01T20:57:48+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Керчь,2022-12-01T21:21:09+0300
Специалист службы поддержки в Яндекс Бизнес,26000,33800,RUR,Новый Уренгой,2022-12-01T21:15:58+0300
Специалист службы поддержки в Яндекс Бизнес,26000,33800,RUR,Ноябрьск,2022-12-01T21:15:58+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Хабаровск,2022-12-01T21:26:21+0300
Специалист службы поддержки в Яндекс Бизнес,26000,33800,RUR,Ачинск,2022-12-01T21:15:58+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Саратов,2022-12-01T20:53:53+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Рубцовск,2022-12-01T21:21:09+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Липецк,2022-12-01T20:53:53+0300
Специалист в службу поддержки в Яндекс Бизнес,26000,33800,RUR,Ханты-Мансийск,2022-12-01T21:28:37+0300
Специалист по общению с клиентами в Яндекс Бизнес,26000,33800,RUR,Евпатория,2022-12-01T21:04:36+0300
